scenario,behavior_case,reference_scenario,reference_behavior_case,market_case,horizon_months,metric,median,p10,p90,probability_positive,probability_negative
employee_ownership_partial,negative_fairness_free_rider,profit_sharing,negative_fairness_free_rider,default_market,60,cash_end_total,-69426.37229613261,-3.9359225477336226e+06,1.6456816750948267e+07,0.174,0.826
employee_ownership_partial,negative_fairness_free_rider,profit_sharing,negative_fairness_free_rider,default_market,60,cash_end_unrestricted,-3.7834979593753815e-10,-3.4252418532733344e+06,1.657882458266418e+07,0.397,0.58
employee_ownership_partial,negative_fairness_free_rider,profit_sharing,negative_fairness_free_rider,default_market,60,cumulative_net_profit,42945.729008381255,-4.560676062471238e+06,1.7489284653050028e+07,0.508,0.492
employee_ownership_partial,negative_fairness_free_rider,profit_sharing,negative_fairness_free_rider,default_market,60,cumulative_operating_profit,-593112.1313973963,-5.359001067920097e+06,1.6612870820747819e+07,0.373,0.627
employee_ownership_partial,negative_fairness_free_rider,profit_sharing,negative_fairness_free_rider,default_market,60,cumulative_revenue,-6.151199647460383e+07,-2.7240115894718194e+08,-4.079368089311824e+07,0,1
employee_ownership_partial,negative_fairness_free_rider,profit_sharing,negative_fairness_free_rider,default_market,60,final_headcount,0.4619097902329212,-5.745921976228597,20.716957008353436,0.557,0.443
employee_ownership_partial,negative_fairness_free_rider,profit_sharing,negative_fairness_free_rider,default_market,60,productive_capacity_added_total,30031.397914618152,23223.513570548697,36309.66884703414,0.999,0.001
employee_ownership_partial,negative_fairness_free_rider,profit_sharing,negative_fairness_free_rider,default_market,60,productive_capacity_growth_rate,0.00948306763346135,0.005918886847623084,0.049709483477304785,1,0
employee_ownership_partial,negative_fairness_free_rider,profit_sharing,negative_fairness_free_rider,default_market,60,risk_adjusted_employee_income,-5976.997200990052,-15165.34204221991,-3619.573858841528,0,1
employee_ownership_partial,negative_fairness_free_rider,profit_sharing,negative_fairness_free_rider,default_market,60,sustainable_development_value_proxy,1.1014913180452287e+06,-3.6015090448005316e+06,2.5863461599546682e+07,0.663,0.337
employee_ownership_partial,negative_fairness_free_rider,profit_sharing,negative_fairness_free_rider,default_market,120,average_employee_income_monthly,-1557.441477092725,-6474.8957537399665,-1130.9755034174173,0,1
employee_ownership_partial,negative_fairness_free_rider,profit_sharing,negative_fairness_free_rider,default_market,120,capacity_cagr,0.001204947109174459,0.0009784890190776552,0.005509558215629362,1,0
employee_ownership_partial,negative_fairness_free_rider,profit_sharing,negative_fairness_free_rider,default_market,120,cash_end_total,-61949.883038211614,-117697.91252372916,1.8215029293840665e+07,0.216,0.784
employee_ownership_partial,negative_fairness_free_rider,profit_sharing,negative_fairness_free_rider,default_market,120,cash_end_unrestricted,7.275957614183426e-11,-7.566995918750763e-10,1.7926373746315982e+07,0.543,0.419
employee_ownership_partial,negative_fairness_free_rider,profit_sharing,negative_fairness_free_rider,default_market,120,cumulative_net_profit,839718.9998606071,-420779.748209583,2.0214489923045587e+07,0.789,0.211
employee_ownership_partial,negative_fairness_free_rider,profit_sharing,negative_fairness_free_rider,default_market,120,cumulative_operating_profit,117187.11780788936,-1.1452018559905037e+06,1.950289763762397e+07,0.538,0.462
employee_ownership_partial,negative_fairness_free_rider,profit_sharing,negative_fairness_free_rider,default_market,120,cumulative_revenue,-6.772582291653031e+07,-2.7564761217837876e+08,-4.788143245930356e+07,0,1
employee_ownership_partial,negative_fairness_free_rider,profit_sharing,negative_fairness_free_rider,default_market,120,final_headcount,1.47357870999668,-0.3551783067954208,25.454716861457836,0.841,0.159
employee_ownership_partial,negative_fairness_free_rider,profit_sharing,negative_fairness_free_rider,default_market,120,productive_capacity_added_total,30031.397914618152,23223.513570548697,36309.66884703414,0.999,0.001
employee_ownership_partial,negative_fairness_free_rider,profit_sharing,negative_fairness_free_rider,default_market,120,productive_capacity_growth_rate,0.010958392441082543,0.008890441042050102,0.05123496634673459,1,0
employee_ownership_partial,negative_fairness_free_rider,profit_sharing,negative_fairness_free_rider,default_market,120,risk_adjusted_employee_income,-1293.0609420815454,-3893.4435372634935,-903.7378536957083,0,1
employee_ownership_partial,negative_fairness_free_rider,profit_sharing,negative_fairness_free_rider,default_market,120,sustainable_development_value_proxy,1.9400732430757582e+06,546987.9516606241,2.763487071146779e+07,0.955,0.045
employee_ownership_partial,negative_fairness_free_rider,profit_sharing,negative_fairness_free_rider,default_market,240,average_employee_income_monthly,-1557.441477092725,-6474.8957537399665,-1130.9755034174173,0,1
employee_ownership_partial,negative_fairness_free_rider,profit_sharing,negative_fairness_free_rider,default_market,240,capacity_cagr,0.0006057247753218364,0.0004919025152513412,0.0027658635190740966,1,0
employee_ownership_partial,negative_fairness_free_rider,profit_sharing,negative_fairness_free_rider,default_market,240,cash_end_total,-61949.883038211614,-117697.91252372916,1.8215029293840665e+07,0.216,0.784
employee_ownership_partial,negative_fairness_free_rider,profit_sharing,negative_fairness_free_rider,default_market,240,cash_end_unrestricted,7.275957614183426e-11,-7.566995918750763e-10,1.7926373746315982e+07,0.543,0.419
employee_ownership_partial,negative_fairness_free_rider,profit_sharing,negative_fairness_free_rider,default_market,240,cumulative_net_profit,839718.9998606071,-420779.748209583,2.0214489923045587e+07,0.789,0.211
employee_ownership_partial,negative_fairness_free_rider,profit_sharing,negative_fairness_free_rider,default_market,240,cumulative_operating_profit,117187.11780788936,-1.1452018559905037e+06,1.950289763762397e+07,0.538,0.462
employee_ownership_partial,negative_fairness_free_rider,profit_sharing,negative_fairness_free_rider,default_market,240,cumulative_revenue,-6.772582291653031e+07,-2.7564761217837876e+08,-4.788143245930356e+07,0,1
employee_ownership_partial,negative_fairness_free_rider,profit_sharing,negative_fairness_free_rider,default_market,240,final_headcount,1.47357870999668,-0.3551783067954208,25.454716861457836,0.841,0.159
employee_ownership_partial,negative_fairness_free_rider,profit_sharing,negative_fairness_free_rider,default_market,240,productive_capacity_added_total,30031.397914618152,23223.513570548697,36309.66884703414,0.999,0.001
employee_ownership_partial,negative_fairness_free_rider,profit_sharing,negative_fairness_free_rider,default_market,240,productive_capacity_growth_rate,0.010958392441082543,0.008890441042050102,0.05123496634673459,1,0
employee_ownership_partial,negative_fairness_free_rider,profit_sharing,negative_fairness_free_rider,default_market,240,risk_adjusted_employee_income,-1011.0345815038309,-3175.491343913879,-702.0925950194155,0,1
employee_ownership_partial,negative_fairness_free_rider,profit_sharing,negative_fairness_free_rider,default_market,240,sustainable_development_value_proxy,1.9400732430757582e+06,546987.9516606241,2.763487071146779e+07,0.955,0.045
employee_ownership_partial,negative_fairness_free_rider,traditional_company,negative_fairness_free_rider,default_market,60,average_employee_income_monthly,-1524.650467582389,-6468.006936646716,-857.8024626154757,0,1
employee_ownership_partial,negative_fairness_free_rider,traditional_company,negative_fairness_free_rider,default_market,60,capacity_cagr,0.0012927660453249112,-3.079755375945366e-07,0.00972103725638124,0.899,0.101
employee_ownership_partial,negative_fairness_free_rider,traditional_company,negative_fairness_free_rider,default_market,60,cash_end_total,-8.032215850066606e+06,-1.1911893550985772e+07,8.167446009989926e+06,0.124,0.876
employee_ownership_partial,negative_fairness_free_rider,traditional_company,negative_fairness_free_rider,default_market,60,cash_end_unrestricted,-7.51169915601309e+06,-1.1349246606371123e+07,8.411944393982172e+06,0.14,0.859
employee_ownership_partial,negative_fairness_free_rider,traditional_company,negative_fairness_free_rider,default_market,60,cumulative_net_profit,-9.651093109616391e+06,-1.3992712358049013e+07,7.629967072253872e+06,0.131,0.869
employee_ownership_partial,negative_fairness_free_rider,traditional_company,negative_fairness_free_rider,default_market,60,cumulative_operating_profit,-9.483236482383631e+06,-1.3868175245733744e+07,7.599880882915308e+06,0.133,0.867
employee_ownership_partial,negative_fairness_free_rider,traditional_company,negative_fairness_free_rider,default_market,60,cumulative_revenue,-9.673083270339704e+07,-3.048262346918349e+08,-6.818754970957415e+07,0,1
employee_ownership_partial,negative_fairness_free_rider,traditional_company,negative_fairness_free_rider,default_market,60,final_headcount,-10.001086972172164,-13.773123216651241,12.596113237936521,0.149,0.851
employee_ownership_partial,negative_fairness_free_rider,traditional_company,negative_fairness_free_rider,default_market,60,productive_capacity_added_total,-51525.37776242675,-59813.45792346101,-41477.24437825604,0,1
employee_ownership_partial,negative_fairness_free_rider,traditional_company,negative_fairness_free_rider,default_market,60,productive_capacity_growth_rate,0.005956182561611789,-1.4160547634589455e-06,0.04565793712960304,0.899,0.101
